rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization,YM,name_id,rank_name_id,latest_rank
125,master,D.Imanishi,https://www.kaggle.com/dimanishi,3,6,1,33769,Japan,Kanagawa,Yokohama,UNKOWN,UNKOWN,2022-11,D.Imanishi (dimanishi),[Rank: 125] D.Imanishi (dimanishi),125.0
126,expert,kojimar,https://www.kaggle.com/kojimar,0,6,9,33701,Japan,Tokyo,Tokyo,Truth,Ground,2022-11,kojimar (kojimar),[Rank: 126] kojimar (kojimar),126.0
127,master,CroDoc,https://www.kaggle.com/crodoc,3,6,0,33486,Croatia,UNKOWN,Zagreb,Computer Scientist & Medical Doctor,UNKOWN,2022-11,CroDoc (crodoc),[Rank: 127] CroDoc (crodoc),127.0
128,master,Antonio Marin,https://www.kaggle.com/amezet,1,8,13,33420,Spain,Andalusia,Seville,CEO,DSC Energy Analytics,2022-11,Antonio Marin (amezet),[Rank: 128] Antonio Marin (amezet),128.0
129,master,Paulo Pinto,https://www.kaggle.com/paulorzp,1,12,17,33345,Brazil,State of Rio de Janeiro,Rio de Janeiro,System Analyst,Petrobras,2022-11,Paulo Pinto (paulorzp),[Rank: 129] Paulo Pinto (paulorzp),129.0
130,master,yu4u,https://www.kaggle.com/ren4yu,4,12,3,33242,Japan,Tokyo,Tokyo,Research Engineer,Mobility Technologies,2022-11,yu4u (ren4yu),[Rank: 130] yu4u (ren4yu),130.0
131,master,Raja Biswas,https://www.kaggle.com/conjuring92,2,1,1,33119,Singapore,UNKOWN,Singapore,Data Scientist,Evonik,2022-11,Raja Biswas (conjuring92),[Rank: 131] Raja Biswas (conjuring92),131.0
132,grandmaster,ZFTurbo,https://www.kaggle.com/zfturbo,24,25,11,33019,Russia,UNKOWN,Moscow,UNKOWN,IPPM RAS,2022-11,ZFTurbo (zfturbo),[Rank: 132] ZFTurbo (zfturbo),132.0
133,master,Davide Stenner,https://www.kaggle.com/stenford23,1,2,1,32796,Italy,Lombardy,Milan,"Reasercher of Data Visualization,Analytics and Machine Learning",Cefriel,2022-11,Davide Stenner (stenford23),[Rank: 133] Davide Stenner (stenford23),133.0
134,master,Andrij,https://www.kaggle.com/aikhmelnytskyy,1,2,13,32781,Ukraine,Lviv Oblast,Lviv,Appraiser,Termin,2022-11,Andrij (aikhmelnytskyy),[Rank: 134] Andrij (aikhmelnytskyy),134.0
135,master,Mohsin hasan,https://www.kaggle.com/tezdhar,4,16,9,32776,India,Karnataka,Bengaluru,Data Scientist,OKCredit,2022-11,Mohsin hasan (tezdhar),[Rank: 135] Mohsin hasan (tezdhar),135.0
136,grandmaster,alijs,https://www.kaggle.com/alijs1,9,17,12,32767,Latvia,UNKOWN,Riga,Software Architect / Data Scientist,Gravity Team,2022-11,alijs (alijs1),[Rank: 136] alijs (alijs1),136.0
137,master,Niu Jin,https://www.kaggle.com/gufanmingmie,2,3,3,32557,China,Heilongjiang,Harbin,Not,all,2022-11,Niu Jin (gufanmingmie),[Rank: 137] Niu Jin (gufanmingmie),137.0
138,expert,Dmitry Kozlov,https://www.kaggle.com/dkozlov,0,7,10,32328,Russia,UNKOWN,Moscow,UNKOWN,UNKOWN,2022-11,Dmitry Kozlov (dkozlov),[Rank: 138] Dmitry Kozlov (dkozlov),138.0
139,grandmaster,Rob Mulla,https://www.kaggle.com/robikscube,5,13,12,32310,United States,District of Columbia,Washington,Tom,o,2022-11,Rob Mulla (robikscube),[Rank: 139] Rob Mulla (robikscube),139.0
140,master,kambehmw,https://www.kaggle.com/kanbehmw,1,9,5,32217,Japan,Kanagawa,Yokohama,Data Scientist,Rist Inc.,2022-11,kambehmw (kanbehmw),[Rank: 140] kambehmw (kanbehmw),140.0
141,expert,Bo Peng,https://www.kaggle.com/bopengiowa,0,7,12,32169,United States,Iowa,Ames,UNKOWN,UNKOWN,2022-11,Bo Peng (bopengiowa),[Rank: 141] Bo Peng (bopengiowa),141.0
142,master,LiamKirwin,https://www.kaggle.com/lpkirwin,2,3,1,32154,United Kingdom,England,London,Data Scientist,UNKOWN,2022-11,LiamKirwin (lpkirwin),[Rank: 142] LiamKirwin (lpkirwin),142.0
143,master,Igor Krashenyi,https://www.kaggle.com/igorkrashenyi,6,14,6,32077,Ukraine,UNKOWN,Kyiv,Research Engineer,UNKOWN,2022-11,Igor Krashenyi (igorkrashenyi),[Rank: 143] Igor Krashenyi (igorkrashenyi),143.0
144,expert,Wei Hao Khoong,https://www.kaggle.com/khoongweihao,0,7,10,32046,Singapore,UNKOWN,Singapore,Data Scientist,NTT Ltd.,2022-11,Wei Hao Khoong (khoongweihao),[Rank: 144] Wei Hao Khoong (khoongweihao),144.0
145,master,yufuin,https://www.kaggle.com/yufuin,1,2,0,31958,Japan,Aichi,Nagoya,UNKOWN,UNKOWN,2022-11,yufuin (yufuin),[Rank: 145] yufuin (yufuin),145.0
146,grandmaster,Iafoss,https://www.kaggle.com/iafoss,6,13,5,31777,United States,Maryland,Gaithersburg,Research Scientist,IAI,2022-11,Iafoss (iafoss),[Rank: 146] Iafoss (iafoss),146.0
147,grandmaster,Shiro,https://www.kaggle.com/ludovick,5,7,4,31698,France,Île-de-France,Paris,AI Engineer,UNKOWN,2022-11,Shiro (ludovick),[Rank: 147] Shiro (ludovick),147.0
148,grandmaster,vecxoz,https://www.kaggle.com/vecxoz,5,15,8,31632,Ukraine,Dnipropetrovsk Oblast,Dnipro,Deep Learning Engineer,VecxozLab,2022-11,vecxoz (vecxoz),[Rank: 148] vecxoz (vecxoz),148.0
149,expert,Dora-ironman,https://www.kaggle.com/imgyukim,1,0,1,31621,South Korea,Seoul,Seoul,ML Researcher,FAAI,2022-11,Dora-ironman (imgyukim),[Rank: 149] Dora-ironman (imgyukim),149.0
150,master,digimagi,https://www.kaggle.com/digimagi,1,3,7,31517,Japan,Kanagawa,Chigasaki,Data Scientist,Life Insurance Company,2022-11,digimagi (digimagi),[Rank: 150] digimagi (digimagi),150.0
151,expert,BIZEN,https://www.kaggle.com/hiro5299834,0,5,5,31417,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-11,BIZEN (hiro5299834),[Rank: 151] BIZEN (hiro5299834),151.0
152,grandmaster,beluga,https://www.kaggle.com/gaborfodor,14,13,12,31367,Hungary,UNKOWN,Budapest,Data Scientist,H2O.ai,2022-11,beluga (gaborfodor),[Rank: 152] beluga (gaborfodor),152.0
153,expert,K_mat,https://www.kaggle.com/kmat2019,1,1,0,31334,Japan,Osaka,Osaka,Mechanical Engineer, ,2022-11,K_mat (kmat2019),[Rank: 153] K_mat (kmat2019),153.0
154,master,Saber,https://www.kaggle.com/yzheng21,3,3,2,31244,China,Shanghai,Shanghai,Data Scientist,UNKOWN,2022-11,Saber (yzheng21),[Rank: 154] Saber (yzheng21),154.0
155,master,See--,https://www.kaggle.com/seesee,3,17,8,31237,Germany,Berlin,Berlin,UNKOWN,UNKOWN,2022-11,See-- (seesee),[Rank: 155] See-- (seesee),155.0
156,master,kibuna,https://www.kaggle.com/kibuna,4,1,1,30677,Japan,Tokyo,Tokyo,Quant,UNKOWN,2022-11,kibuna (kibuna),[Rank: 156] kibuna (kibuna),156.0
157,master,Kha Vo,https://www.kaggle.com/khahuras,8,10,0,30605,Australia,New South Wales,Sydney,UNKOWN,UNKOWN,2022-11,Kha Vo (khahuras),[Rank: 157] Kha Vo (khahuras),157.0
158,grandmaster,qsj,https://www.kaggle.com/qiaoshiji,7,10,10,30567,China,Guangdong Province,Guangzhou,UNKOWN,UNKOWN,2022-11,qsj (qiaoshiji),[Rank: 158] qsj (qiaoshiji),158.0
159,master,IsaiahP,https://www.kaggle.com/pressman1,2,2,0,30562,United States,Virginia,Charlottesville,Machine Learning Engineer,UNKOWN,2022-11,IsaiahP (pressman1),[Rank: 159] IsaiahP (pressman1),159.0
160,master,Fumihiro Kaneko,https://www.kaggle.com/sai11fkaneko,1,12,1,30519,Japan,Saitama,Saitama,Engineer,Automotive Industry,2022-11,Fumihiro Kaneko (sai11fkaneko),[Rank: 160] Fumihiro Kaneko (sai11fkaneko),160.0
161,expert,Kishore M,https://www.kaggle.com/reachkishore,0,4,16,30178,India,Karnataka,Bengaluru,UNKOWN,UNKOWN,2022-11,Kishore M (reachkishore),[Rank: 161] Kishore M (reachkishore),161.0
162,master,Sergio Manuel Papadakis,https://www.kaggle.com/socom20,4,0,1,30133,Argentina,Río Negro,San Carlos de Bariloche,IA and Nuclear Engineer,UNKOWN,2022-11,Sergio Manuel Papadakis (socom20),[Rank: 162] Sergio Manuel Papadakis (socom20),162.0
163,master,ns64,https://www.kaggle.com/ns6464,4,8,5,29951,Japan,Tokyo,Tokyo,Data Scientist,YJ,2022-11,ns64 (ns6464),[Rank: 163] ns64 (ns6464),163.0
164,master,shajiayu,https://www.kaggle.com/shajiayu,1,6,2,29903,China,Beijing,Beijing,UNKOWN,UNKOWN,2022-11,shajiayu (shajiayu),[Rank: 164] shajiayu (shajiayu),164.0
165,grandmaster,Inoichan,https://www.kaggle.com/inoueu1,5,6,8,29898,Japan,Chiba,Kashiwa,Engineer,TURING Inc.,2022-11,Inoichan (inoueu1),[Rank: 165] Inoichan (inoueu1),165.0
166,master,bomac1,https://www.kaggle.com/bomac1,2,1,1,29897,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2022-11,bomac1 (bomac1),[Rank: 166] bomac1 (bomac1),166.0
167,master,fantastic_hirarin,https://www.kaggle.com/hiraiitsuki,3,5,1,29776,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2022-11,fantastic_hirarin (hiraiitsuki),[Rank: 167] fantastic_hirarin (hiraiitsuki),167.0
168,master,realsleim,https://www.kaggle.com/realsleim,3,2,3,29721,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-11,realsleim (realsleim),[Rank: 168] realsleim (realsleim),168.0
169,expert,Naruhiko Nakanishi,https://www.kaggle.com/grapestone5321,0,0,11,29714,Japan,Hiroshima,Hiroshima,Student,Udacity,2022-11,Naruhiko Nakanishi (grapestone5321),[Rank: 169] Naruhiko Nakanishi (grapestone5321),169.0
170,grandmaster,Abhishek Thakur,https://www.kaggle.com/abhishek,20,40,23,29674,Norway,Rogaland,Stavanger,AutoTrain,Hugging Face,2022-11,Abhishek Thakur (abhishek),[Rank: 170] Abhishek Thakur (abhishek),170.0
171,grandmaster,sin,https://www.kaggle.com/underwearfitting,5,7,6,29398,United States,California,San Diego,Living life,NANOVERSE,2022-11,sin (underwearfitting),[Rank: 171] sin (underwearfitting),171.0
172,expert,JSLim7,https://www.kaggle.com/jslim7,0,3,7,29389,United States,Indiana,Fishers,Playing,home,2022-11,JSLim7 (jslim7),[Rank: 172] JSLim7 (jslim7),172.0
173,master,Amed,https://www.kaggle.com/amedprof,4,7,6,29332,France,Île-de-France,Paris,Data Science Ambassador,Z by HP,2022-11,Amed (amedprof),[Rank: 173] Amed (amedprof),173.0
174,expert,Abid Ali Awan,https://www.kaggle.com/kingabzpro,0,2,2,29292,Pakistan,Islamabad Capital Territory,Islamabad,Data Scientist | Writer,KDnuggets,2022-11,Abid Ali Awan (kingabzpro),[Rank: 174] Abid Ali Awan (kingabzpro),174.0
175,master,sugghi,https://www.kaggle.com/sugghi,1,2,3,29250,Japan,Ibaraki,Ibaraki,solid state chemist,a material company,2022-11,sugghi (sugghi),[Rank: 175] sugghi (sugghi),175.0
176,expert,Shuntaro Tanaka,https://www.kaggle.com/shuntarotanaka,0,9,5,29235,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2022-11,Shuntaro Tanaka (shuntarotanaka),[Rank: 176] Shuntaro Tanaka (shuntarotanaka),176.0
177,master,Ethan,https://www.kaggle.com/chenxin1991,4,7,3,29220,China,Guangdong Province,Guangzhou,Senior Data mining,Netease,2022-11,Ethan (chenxin1991),[Rank: 177] Ethan (chenxin1991),177.0
178,master,Rib~,https://www.kaggle.com/dc5e964768ef56302a32,2,4,2,29161,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-11,Rib~ (dc5e964768ef56302a32),[Rank: 178] Rib~ (dc5e964768ef56302a32),178.0
179,grandmaster,YuryBolkonsky,https://www.kaggle.com/bolkonsky,8,22,10,29076,Russia,UNKOWN,Moscow,Data Science,Moscow State University,2022-11,YuryBolkonsky (bolkonsky),[Rank: 179] YuryBolkonsky (bolkonsky),179.0
180,master,Givan,https://www.kaggle.com/marbury,2,8,4,29069,China,Guangdong Province,Guangzhou,Student,Sun Yat-sen University,2022-11,Givan (marbury),[Rank: 180] Givan (marbury),180.0
181,master,ilovekaggletoo,https://www.kaggle.com/ilovekaggletoo,1,6,2,28905,South Korea,Seoul,Seoul,UNKOWN,UNKOWN,2022-11,ilovekaggletoo (ilovekaggletoo),[Rank: 181] ilovekaggletoo (ilovekaggletoo),181.0
182,master,datasaurus,https://www.kaggle.com/anjum48,4,10,0,28809,United Kingdom,England,London,UNKOWN,UNKOWN,2022-11,datasaurus (anjum48),[Rank: 182] datasaurus (anjum48),182.0
183,master,Alvor,https://www.kaggle.com/allvor,4,17,6,28764,Poland,Masovian Voivodeship,Warsaw,Data Scientist, ,2022-11,Alvor (allvor),[Rank: 183] Alvor (allvor),183.0
184,master,avsanjay,https://www.kaggle.com/avsanjay,4,6,2,28595,United States,Arizona,Chandler,engineer,int,2022-11,avsanjay (avsanjay),[Rank: 184] avsanjay (avsanjay),184.0
185,master,Manyu Li,https://www.kaggle.com/manyuli,1,3,0,28463,China,Jiangxi,Nanchang,Undergraduates,NCU,2022-11,Manyu Li (manyuli),[Rank: 185] Manyu Li (manyuli),185.0
186,master,SiNpcw,https://www.kaggle.com/sinpcw,5,10,1,28436,Japan,Kanagawa,Yokohama,Researcher,nssol,2022-11,SiNpcw (sinpcw),[Rank: 186] SiNpcw (sinpcw),186.0
187,grandmaster,He,https://www.kaggle.com/hesene,5,2,1,28434,China,Beijing,Beijing,Engineer,None,2022-11,He (hesene),[Rank: 187] He (hesene),187.0
188,grandmaster,Zidmie,https://www.kaggle.com/zidmie,7,3,1,28429,France,Auvergne-Rhône-Alpes,Lyon,UNKOWN,UNKOWN,2022-11,Zidmie (zidmie),[Rank: 188] Zidmie (zidmie),188.0
189,master,Mohammed Rizin V K,https://www.kaggle.com/morizin,3,5,1,28220,India,Kerala,Malappuram,Deep Learning Intern,NVIDIA,2022-11,Mohammed Rizin V K (morizin),[Rank: 189] Mohammed Rizin V K (morizin),189.0
190,expert,Mukharbek Organokov,https://www.kaggle.com/muhakabartay,0,6,10,28205,France,Île-de-France,Paris,Machine Learning Engineer,Kepler-62f,2022-11,Mukharbek Organokov (muhakabartay),[Rank: 190] Mukharbek Organokov (muhakabartay),190.0
191,expert,Akira Hirohashi,https://www.kaggle.com/akirahirohashi,0,2,7,28131,Japan,Kanagawa,Kawasaki,software engineer,"GMO Research, Inc.",2022-11,Akira Hirohashi (akirahirohashi),[Rank: 191] Akira Hirohashi (akirahirohashi),191.0
192,master,Ph0921,https://www.kaggle.com/ph0921,2,1,0,27995,Germany,Bavaria,Munich,Data Scientist,Khumbu.ai,2022-11,Ph0921 (ph0921),[Rank: 192] Ph0921 (ph0921),192.0
193,expert,Siti Khotijah,https://www.kaggle.com/khotijahs1,0,2,5,27983,Indonesia,West Java,Bandung,AI/ML Engineer,IT Company,2022-11,Siti Khotijah (khotijahs1),[Rank: 193] Siti Khotijah (khotijahs1),193.0
194,grandmaster,bird,https://www.kaggle.com/whitebird,6,9,1,27962,China,Zhejiang,Hangzhou,Engineer,10jqka,2022-11,bird (whitebird),[Rank: 194] bird (whitebird),194.0
195,master,yabea,https://www.kaggle.com/yukia18,3,7,2,27898,Japan,Tokyo,Tokyo,Data Scientist,Tokyo,2022-11,yabea (yukia18),[Rank: 195] yabea (yukia18),195.0
196,master,Leo Lu,https://www.kaggle.com/leolu1998,2,7,4,27755,China,Jiangsu,Suzhou,Student,China,2022-11,Leo Lu (leolu1998),[Rank: 196] Leo Lu (leolu1998),196.0
197,master,YumeNeko,https://www.kaggle.com/kashiwaba,2,2,0,27736,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-11,YumeNeko (kashiwaba),[Rank: 197] YumeNeko (kashiwaba),197.0
198,master,XIUQI,https://www.kaggle.com/xiuqi0,2,2,0,27717,China,Sichuan,Chengdu,UNKOWN,UNKOWN,2022-11,XIUQI (xiuqi0),[Rank: 198] XIUQI (xiuqi0),198.0
199,expert,Niranjan Nakkala,https://www.kaggle.com/niranjanmudhiraj,0,1,10,27617,India,Karnataka,Bengaluru,Data Scientist,UNKOWN,2022-11,Niranjan Nakkala (niranjanmudhiraj),[Rank: 199] Niranjan Nakkala (niranjanmudhiraj),199.0
200,grandmaster,kenji,https://www.kaggle.com/knjcode,5,6,1,27587,Japan,Fukuoka,Fukuoka,Engineer,UNKOWN,2022-11,kenji (knjcode),[Rank: 200] kenji (knjcode),200.0
201,master,xia,https://www.kaggle.com/xiamaozi11,3,4,0,27456,China,Anhui,Hefei,UNKOWN,UNKOWN,2022-11,xia (xiamaozi11),[Rank: 201] xia (xiamaozi11),201.0
202,master,Akio Saito,https://www.kaggle.com/saitodevel01,4,0,1,27456,Japan,Hyogo,Amagasaki,Control Systems Engineer,Mitsubishi Electric,2022-11,Akio Saito (saitodevel01),[Rank: 202] Akio Saito (saitodevel01),202.0
203,master,Hongwei Zhang,https://www.kaggle.com/hongweizhang,3,2,1,27246,Japan,Tokyo,Tokyo,Senior Machine Learning Engineer,LINE corp.,2022-11,Hongwei Zhang (hongweizhang),[Rank: 203] Hongwei Zhang (hongweizhang),203.0
204,expert,Hao Chen,https://www.kaggle.com/calvchen,1,1,4,27201,United Kingdom,England,London,Data Scientist,Your Heart,2022-11,Hao Chen (calvchen),[Rank: 204] Hao Chen (calvchen),204.0
205,master,Ynot,https://www.kaggle.com/songwonho,7,9,2,26931,South Korea,Gyeonggi-do,Suwon-si,AI Research Engineer,UPSTAGE AI,2022-11,Ynot (songwonho),[Rank: 205] Ynot (songwonho),205.0
206,expert,Chanran Kim,https://www.kaggle.com/seriousran,0,9,13,26889,South Korea,Seoul,Seoul,Builder,PseudoLab,2022-11,Chanran Kim (seriousran),[Rank: 206] Chanran Kim (seriousran),206.0
207,master,ZhaoQin,https://www.kaggle.com/kevin1742064161,2,8,0,26862,China,Guangdong Province,Guangzhou,graduate student,GDUT,2022-11,ZhaoQin (kevin1742064161),[Rank: 207] ZhaoQin (kevin1742064161),207.0
208,master,Udbhav Bamba,https://www.kaggle.com/ubamba98,3,5,2,26811,India,Jharkhand,Dhanbad,Applied Scientist,Amazon,2022-11,Udbhav Bamba (ubamba98),[Rank: 208] Udbhav Bamba (ubamba98),208.0
209,expert,Ilya Elenik,https://www.kaggle.com/ielenik,2,0,0,26798,Russia,UNKOWN,Moscow,Software enginer,MDO,2022-11,Ilya Elenik (ielenik),[Rank: 209] Ilya Elenik (ielenik),209.0
210,expert,rc95401,https://www.kaggle.com/rc95401,0,0,8,26763,United States,California,Santa Rosa,retired,home,2022-11,rc95401 (rc95401),[Rank: 210] rc95401 (rc95401),210.0
211,master,🐢 Jun Koda,https://www.kaggle.com/junkoda,3,3,2,26728,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2022-11,🐢 Jun Koda (junkoda),[Rank: 211] 🐢 Jun Koda (junkoda),211.0
212,master,steubk,https://www.kaggle.com/steubk,2,13,11,26717,Italy,Lazio,Rome,data analyst,softlab,2022-11,steubk (steubk),[Rank: 212] steubk (steubk),212.0
213,expert,mihtw,https://www.kaggle.com/mihtw1,0,4,10,26698,Russia,UNKOWN,Moscow,"Developer, DS",Somewhere,2022-11,mihtw (mihtw1),[Rank: 213] mihtw (mihtw1),213.0
214,master,Nathaniel Maddux,https://www.kaggle.com/nathanrm,2,1,0,26695,United States,Colorado,Boulder,Physicist and Data Scientist,Maddux Institute for Advanced Daydreaming,2022-11,Nathaniel Maddux (nathanrm),[Rank: 214] Nathaniel Maddux (nathanrm),214.0
215,master,tmp,https://www.kaggle.com/baosenguo,3,3,1,26592,China,Guangdong Province,Shenzhen,UNKOWN,UNKOWN,2022-11,tmp (baosenguo),[Rank: 215] tmp (baosenguo),215.0
216,expert,miyasaki,https://www.kaggle.com/sikeda,1,0,1,26515,Japan,Tokyo,Tokyo,Senior Technical Consultant,MathWorks Japan,2022-11,miyasaki (sikeda),[Rank: 216] miyasaki (sikeda),216.0
217,master,Sergey Bryansky,https://www.kaggle.com/sggpls,5,12,7,26395,Russia,UNKOWN,Moscow,Data 💪Wrestler,void*,2022-11,Sergey Bryansky (sggpls),[Rank: 217] Sergey Bryansky (sggpls),217.0
218,expert,Allie K.,https://www.kaggle.com/blankaf,0,5,7,26394,Czechia,Central Bohemian Region,Mníšek pod Brdy,UNKOWN,UNKOWN,2022-11,Allie K. (blankaf),[Rank: 218] Allie K. (blankaf),218.0
219,master,Gilles Vandewiele,https://www.kaggle.com/group16,5,3,2,26352,Belgium,Flanders,Ghent,Postdoc,Ghent University,2022-11,Gilles Vandewiele (group16),[Rank: 219] Gilles Vandewiele (group16),219.0
220,grandmaster,Silogram,https://www.kaggle.com/psilogram,17,33,12,26169,Switzerland,Zurich,Zürich,Freelance data scientist,Self-employed,2022-11,Silogram (psilogram),[Rank: 220] Silogram (psilogram),220.0
221,master,Ivan Aerlic,https://www.kaggle.com/ivanaerlic,3,4,1,26151,Australia,Victoria,Melbourne,Salesforce Developer,Global Payments,2022-11,Ivan Aerlic (ivanaerlic),[Rank: 221] Ivan Aerlic (ivanaerlic),221.0
222,master,Mark Peng,https://www.kaggle.com/markpeng,3,13,10,26087,Taiwan,UNKOWN,UNKOWN,Data Scientist,UNKOWN,2022-11,Mark Peng (markpeng),[Rank: 222] Mark Peng (markpeng),222.0
223,master,Elahi,https://www.kaggle.com/mmelahi,1,7,6,26071,India,Telangana,Miryalaguda,UNKOWN,UNKOWN,2022-11,Elahi (mmelahi),[Rank: 223] Elahi (mmelahi),223.0
224,master,yokuyama,https://www.kaggle.com/yokuyama,2,3,2,25909,Japan,Kanagawa,Yokohama,UNKOWN,UNKOWN,2022-11,yokuyama (yokuyama),[Rank: 224] yokuyama (yokuyama),224.0
225,master,Lindada,https://www.kaggle.com/a763337092,3,14,3,25905,China,Beijing,Beijing, Quant research, Quant,2022-11,Lindada (a763337092),[Rank: 225] Lindada (a763337092),225.0
226,master,Jungwoo Park,https://www.kaggle.com/affjljoo3581,1,4,2,25661,South Korea,Seoul,Seoul,UNKOWN,UNKOWN,2022-11,Jungwoo Park (affjljoo3581),[Rank: 226] Jungwoo Park (affjljoo3581),226.0
227,grandmaster,Khoi Nguyen,https://www.kaggle.com/suicaokhoailang,5,3,3,25403,Vietnam,Ho Chi Minh City,Ho Chi Minh City,Phụ Hồ,Zalo,2022-11,Khoi Nguyen (suicaokhoailang),[Rank: 227] Khoi Nguyen (suicaokhoailang),227.0
228,grandmaster,toxu,https://www.kaggle.com/tonyxu,7,3,1,25373,China,Jiangsu,Nanjing, Algorithm Engineer,SHEIN,2022-11,toxu (tonyxu),[Rank: 228] toxu (tonyxu),228.0
229,master,Costas Voglis,https://www.kaggle.com/voglinio,5,25,10,25334,Greece,UNKOWN,Athens,Data Scientist,Nodalpoint Systems,2022-11,Costas Voglis (voglinio),[Rank: 229] Costas Voglis (voglinio),229.0
230,master,Jacoby Jaeger,https://www.kaggle.com/jacobyjaeger,1,3,0,25263,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-11,Jacoby Jaeger (jacobyjaeger),[Rank: 230] Jacoby Jaeger (jacobyjaeger),230.0
231,expert,Lawrence Chernin,https://www.kaggle.com/lawrencechernin,0,4,16,25187,United States,California,Mountain View,Data Science,GoGuardian,2022-11,Lawrence Chernin (lawrencechernin),[Rank: 231] Lawrence Chernin (lawrencechernin),231.0
232,master,A.Sato,https://www.kaggle.com/tommy1028,3,3,0,25131,Japan,Tokyo,Tokyo,Data Scientist,Parking lot ,2022-11,A.Sato (tommy1028),[Rank: 232] A.Sato (tommy1028),232.0
233,expert,*.*,https://www.kaggle.com/piupiupiu,2,0,1,24981,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-11,*.* (piupiupiu),[Rank: 233] *.* (piupiupiu),233.0
234,master,T0m,https://www.kaggle.com/tomyanabe,2,5,0,24833,Japan,Tokyo,Tokyo,Data Scientist,DeNA,2022-11,T0m (tomyanabe),[Rank: 234] T0m (tomyanabe),234.0
235,master,chumajin,https://www.kaggle.com/chumajin,2,7,5,24820,Japan,Kanagawa,Yokohama,Engineer,Japanese Company,2022-11,chumajin (chumajin),[Rank: 235] chumajin (chumajin),235.0
236,master,andrewyjn,https://www.kaggle.com/andrew1024,1,2,2,24803,China,Beijing,Beijing,Peking University ,2011-2015,2022-11,andrewyjn (andrew1024),[Rank: 236] andrewyjn (andrew1024),236.0
237,master,Ilia Larchenko,https://www.kaggle.com/ilialar,1,15,9,24700,Thailand,Bangkok,Bangkok,Data Science Manager,Agoda,2022-11,Ilia Larchenko (ilialar),[Rank: 237] Ilia Larchenko (ilialar),237.0
238,master,mitaml,https://www.kaggle.com/tomishere,1,2,2,24682,China,Shanghai,Shanghai,UNKOWN,UNKOWN,2022-11,mitaml (tomishere),[Rank: 238] mitaml (tomishere),238.0
239,master,HarshitMehta,https://www.kaggle.com/harshit92,2,7,4,24671,United States,Texas,Austin,Senior Data & Applied Scientist,Microsoft,2022-11,HarshitMehta (harshit92),[Rank: 239] HarshitMehta (harshit92),239.0
240,master,Konstantin Yakovlev,https://www.kaggle.com/kyakovlev,2,5,1,24636,Portugal,Lisbon,Cascais,Head of DS,JuneHomes,2022-11,Konstantin Yakovlev (kyakovlev),[Rank: 240] Konstantin Yakovlev (kyakovlev),240.0
241,master,Camaro,https://www.kaggle.com/bamps53,3,11,1,24627,Japan,Osaka,Osaka,ML Engineer,manufacturing company,2022-11,Camaro (bamps53),[Rank: 241] Camaro (bamps53),241.0
